Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Cincinnati (AAC) ,31,27-4 ,2345,75.6,1777,57.3,18.3
2,Gonzaga (WCC) ,34,30-4 ,2873,84.5,2282,67.1,17.4
3,Michigan St. (Big Ten) ,33,29-4 ,2672,81,2138,64.8,16.2
4,Villanova (Big East) ,31,27-4 ,2703,87.2,2206,71.2,16
5,Duke (ACC) ,31,25-6 ,2638,85.1,2153,69.5,15.6
6,Purdue (Big Ten) ,34,28-6 ,2759,81.1,2232,65.6,15.5
7,Virginia (ACC) ,30,28-2 ,2019,67.3,1583,52.8,14.5
8,Murray St. (OVC) ,31,26-5 ,2447,78.9,2032,65.5,13.4
9,Louisiana (Sun Belt) ,31,26-5 ,2605,84,2199,70.9,13.1
10,SFA (Southland) ,31,25-6 ,2536,81.8,2131,68.7,13.1
11,South Dakota (Summit League) ,34,26-8 ,2755,81,2314,68.1,13
12,Houston (AAC) ,30,24-6 ,2339,78,1956,65.2,12.8
13,Saint Mary's (CA) (WCC) ,33,28-5 ,2540,77,2128,64.5,12.5
14,Northern Ky. (Horizon) ,31,22-9 ,2428,78.3,2046,66,12.3
15,Wichita St. (AAC) ,30,24-6 ,2493,83.1,2125,70.8,12.3
16,New Mexico St. (WAC) ,30,25-5 ,2251,75,1897,63.2,11.8
17,West Virginia (Big 12) ,31,22-9 ,2493,80.4,2137,68.9,11.5
18,Old Dominion (C-USA) ,30,24-6 ,2236,74.5,1895,63.2,11.4
19,Utah Valley (WAC) ,30,21-9 ,2356,78.5,2018,67.3,11.3
20,Nevada (MWC) ,32,26-6 ,2673,83.5,2314,72.3,11.2
21,Texas Tech (Big 12) ,31,23-8 ,2347,75.7,2000,64.5,11.2
22,UNCG (SoCon) ,34,27-7 ,2498,73.5,2121,62.4,11.1
23,Auburn (SEC) ,31,25-6 ,2605,84,2265,73.1,11
24,Michigan (Big Ten) ,35,28-7 ,2606,74.5,2224,63.5,10.9
25,Furman (SoCon) ,33,23-10 ,2619,79.4,2260,68.5,10.9
26,South Dakota St. (Summit League) ,34,28-6 ,2885,84.9,2518,74.1,10.8
27,Creighton (Big East) ,31,21-10 ,2629,84.8,2303,74.3,10.5
28,Kansas (Big 12) ,31,24-7 ,2525,81.5,2205,71.1,10.3
29,Vermont (America East) ,33,27-6 ,2461,74.6,2121,64.3,10.3
30,Loyola Chicago (MVC) ,33,28-5 ,2390,72.4,2054,62.2,10.2
31,FGCU (ASUN) ,34,23-11 ,2779,81.7,2435,71.6,10.1
32,Grand Canyon (WAC) ,30,20-10 ,2229,74.3,1929,64.3,10
33,Boise St. (MWC) ,30,23-7 ,2353,78.4,2055,68.5,9.9
34,Xavier (Big East) ,31,27-4 ,2621,84.5,2323,74.9,9.6
35,Montana (Big Sky) ,30,23-7 ,2321,77.4,2038,67.9,9.4
35,Middle Tenn. (C-USA) ,30,24-6 ,2252,75.1,1969,65.6,9.4
37,San Diego St. (MWC) ,29,19-10 ,2244,77.4,1973,68,9.3
38,Arizona (Pac-12) ,31,24-7 ,2514,81.1,2225,71.8,9.3
39,ETSU (SoCon) ,34,25-9 ,2556,75.2,2241,65.9,9.3
40,North Carolina (ACC) ,32,23-9 ,2650,82.8,2354,73.6,9.3
41,Ohio St. (Big Ten) ,32,24-8 ,2426,75.8,2134,66.7,9.1
42,Weber St. (Big Sky) ,30,20-10 ,2379,79.3,2115,70.5,8.8
43,Rhode Island (Atlantic 10) ,29,23-6 ,2215,76.4,1961,67.6,8.8
44,Davidson (Atlantic 10) ,29,18-11 ,2228,76.8,1975,68.1,8.7
45,Fresno St. (MWC) ,31,21-10 ,2407,77.6,2137,68.9,8.7
46,Buffalo (MAC) ,31,23-8 ,2640,85.2,2378,76.7,8.5
47,Belmont (OVC) ,33,24-9 ,2562,77.6,2284,69.2,8.4
48,Bucknell (Patriot) ,34,25-9 ,2759,81.1,2477,72.9,8.3
49,Arizona St. (Pac-12) ,31,20-11 ,2589,83.5,2335,75.3,8.2
50,UAB (C-USA) ,32,20-12 ,2466,77.1,2205,68.9,8.2
51,Tennessee (SEC) ,30,23-7 ,2231,74.4,1989,66.3,8.1
52,Virginia Tech (ACC) ,32,21-11 ,2551,79.7,2296,71.8,8
53,Western Ky. (C-USA) ,31,22-9 ,2444,78.8,2198,70.9,7.9
54,Winthrop (Big South) ,31,19-12 ,2464,79.5,2219,71.6,7.9
55,Clemson (ACC) ,30,22-8 ,2197,73.2,1960,65.3,7.9
56,Nicholls St. (Southland) ,31,21-10 ,2575,83.1,2333,75.3,7.8
57,Penn St. (Big Ten) ,34,21-13 ,2537,74.6,2275,66.9,7.7
58,Northern Colo. (Big Sky) ,32,21-11 ,2571,80.3,2328,72.8,7.6
59,Liberty (Big South) ,34,20-14 ,2421,71.2,2163,63.6,7.6
60,St. Bonaventure (Atlantic 10) ,30,24-6 ,2340,78,2113,70.4,7.6
61,Georgia St. (Sun Belt) ,31,21-10 ,2341,75.5,2109,68,7.5
62,Penn (Ivy League) ,30,22-8 ,2298,76.6,2076,69.2,7.4
63,TCU (Big 12) ,31,21-10 ,2592,83.6,2364,76.3,7.4
64,Butler (Big East) ,31,19-12 ,2468,79.6,2241,72.3,7.3
65,Florida St. (ACC) ,31,20-11 ,2533,81.7,2309,74.5,7.2
66,Florida (SEC) ,31,20-11 ,2362,76.2,2142,69.1,7.1
67,Notre Dame (ACC) ,33,20-13 ,2481,75.2,2247,68.1,7.1
68,Oregon (Pac-12) ,32,21-11 ,2504,78.3,2279,71.2,7
69,Idaho (Big Sky) ,30,22-8 ,2252,75.1,2042,68.1,7
70,Southern California (Pac-12) ,31,21-10 ,2424,78.2,2209,71.3,6.9
71,Miami (FL) (ACC) ,30,22-8 ,2232,74.4,2025,67.5,6.9
72,BYU (WCC) ,34,24-10 ,2517,74,2286,67.2,6.8
73,NC State (ACC) ,32,21-11 ,2599,81.2,2383,74.5,6.8
74,Wagner (NEC) ,32,23-9 ,2389,74.7,2176,68,6.7
75,Mercer (SoCon) ,32,18-14 ,2416,75.5,2204,68.9,6.6
76,Lamar University (Southland) ,32,19-13 ,2431,76,2220,69.4,6.6
77,Jacksonville St. (OVC) ,33,21-12 ,2359,71.5,2142,64.9,6.6
78,Portland St. (Big Sky) ,32,20-12 ,2761,86.3,2553,79.8,6.5
78,UC Santa Barbara (Big West) ,30,22-8 ,2292,76.4,2097,69.9,6.5
80,Wright St. (Horizon) ,34,25-9 ,2453,72.1,2234,65.7,6.4
81,Louisville (ACC) ,32,20-12 ,2457,76.8,2251,70.3,6.4
82,Col. of Charleston (CAA) ,33,26-7 ,2478,75.1,2269,68.8,6.3
83,Arkansas (SEC) ,31,21-10 ,2542,82,2348,75.7,6.3
84,Baylor (Big 12) ,31,18-13 ,2347,75.7,2154,69.5,6.2
84,Mississippi St. (SEC) ,31,21-10 ,2294,74,2101,67.8,6.2
86,Maryland (Big Ten) ,32,19-13 ,2338,73.1,2140,66.9,6.2
87,Northeastern (CAA) ,33,23-10 ,2472,74.9,2270,68.8,6.1
88,Ga. Southern (Sun Belt) ,31,20-11 ,2374,76.6,2187,70.5,6
89,Central Mich. (MAC) ,32,19-13 ,2498,78.1,2305,72,6
89,Albany (NY) (America East) ,32,22-10 ,2375,74.2,2182,68.2,6
91,UCLA (Pac-12) ,30,20-10 ,2466,82.2,2287,76.2,6
92,Seton Hall (Big East) ,31,21-10 ,2454,79.2,2271,73.3,5.9
93,SMU (AAC) ,31,16-15 ,2162,69.7,1980,63.9,5.9
94,Fort Wayne (Summit League) ,32,18-14 ,2627,82.1,2441,76.3,5.8
95,Kentucky (SEC) ,31,21-10 ,2384,76.9,2206,71.2,5.7
96,UNLV (MWC) ,32,20-12 ,2679,83.7,2498,78.1,5.7
97,Canisius (MAAC) ,32,21-11 ,2441,76.3,2266,70.8,5.5
98,Missouri (SEC) ,31,20-11 ,2285,73.7,2117,68.3,5.4
99,Texas A&M (SEC) ,31,20-11 ,2330,75.2,2163,69.8,5.4
100,Wofford (SoCon) ,33,21-12 ,2484,75.3,2307,69.9,5.4
101,Toledo (MAC) ,31,21-10 ,2486,80.2,2324,75,5.2
101,Kansas St. (Big 12) ,31,21-10 ,2255,72.7,2093,67.5,5.2
103,Towson (CAA) ,32,18-14 ,2446,76.4,2279,71.2,5.2
104,Marshall (C-USA) ,31,21-10 ,2618,84.5,2458,79.3,5.2
104,Campbell (Big South) ,31,16-15 ,2351,75.8,2191,70.7,5.2
106,UC Davis (Big West) ,30,21-9 ,2205,73.5,2051,68.4,5.1
107,Lipscomb (ASUN) ,32,23-9 ,2642,82.6,2480,77.5,5.1
108,Utah (Pac-12) ,29,19-10 ,2139,73.8,1994,68.8,5
109,Eastern Mich. (MAC) ,31,20-11 ,2234,72.1,2083,67.2,4.9
110,UMBC (America East) ,33,23-10 ,2448,74.2,2300,69.7,4.5
111,High Point (Big South) ,30,14-16 ,2126,70.9,1993,66.4,4.4
112,Louisiana Tech (C-USA) ,32,17-15 ,2410,75.3,2269,70.9,4.4
113,New Mexico (MWC) ,31,17-14 ,2552,82.3,2416,77.9,4.4
114,UT Arlington (Sun Belt) ,31,19-12 ,2424,78.2,2290,73.9,4.3
115,Rider (MAAC) ,31,22-9 ,2534,81.7,2406,77.6,4.1
116,Nebraska (Big Ten) ,32,22-10 ,2327,72.7,2199,68.7,4
117,UTSA (C-USA) ,32,19-13 ,2514,78.6,2388,74.6,3.9
118,Saint Francis (PA) (NEC) ,30,18-12 ,2389,79.6,2271,75.7,3.9
119,Oklahoma St. (Big 12) ,32,19-13 ,2454,76.7,2330,72.8,3.9
120,Eastern Wash. (Big Sky) ,31,18-13 ,2329,75.1,2209,71.3,3.9
120,Southeastern La. (Southland) ,31,21-10 ,2250,72.6,2130,68.7,3.9
122,LSU (SEC) ,30,17-13 ,2327,77.6,2212,73.7,3.8
123,Texas (Big 12) ,32,19-13 ,2298,71.8,2178,68.1,3.8
124,Hampton (MEAC) ,32,18-14 ,2481,77.5,2362,73.8,3.7
125,North Dakota St. (Summit League) ,32,15-17 ,2382,74.4,2264,70.8,3.7
126,San Diego (WCC) ,31,18-13 ,2155,69.5,2042,65.9,3.6
127,Iona (MAAC) ,33,20-13 ,2633,79.8,2513,76.2,3.6
128,Marquette (Big East) ,31,19-12 ,2528,81.5,2417,78,3.6
128,Seattle U (WAC) ,31,19-12 ,2343,75.6,2232,72,3.6
130,Oklahoma (Big 12) ,31,18-13 ,2640,85.2,2531,81.6,3.5
131,Missouri St. (MVC) ,33,18-15 ,2313,70.1,2197,66.6,3.5
132,William & Mary (CAA) ,31,19-12 ,2636,85,2531,81.6,3.4
133,Oregon St. (Pac-12) ,30,15-15 ,2222,74.1,2124,70.8,3.3
134,Charleston So. (Big South) ,31,15-16 ,2232,72,2133,68.8,3.2
135,UC Irvine (Big West) ,32,16-16 ,2256,70.5,2154,67.3,3.2
136,N.C. Central (MEAC) ,31,16-15 ,2266,73.1,2172,70.1,3
137,Radford (Big South) ,34,22-12 ,2290,67.4,2188,64.4,3
137,Syracuse (ACC) ,33,20-13 ,2229,67.5,2130,64.5,3
139,Central Ark. (Southland) ,32,17-15 ,2604,81.4,2510,78.4,2.9
140,Abilene Christian (Southland) ,31,16-15 ,2286,73.7,2199,70.9,2.8
140,Sam Houston St. (Southland) ,31,18-13 ,2182,70.4,2095,67.6,2.8
142,Cal St. Fullerton (Big West) ,28,17-11 ,2068,73.9,1990,71.1,2.8
143,Troy (Sun Belt) ,32,16-16 ,2424,75.8,2335,73,2.8
144,Tulsa (AAC) ,30,19-11 ,2213,73.8,2130,71,2.8
145,Appalachian St. (Sun Belt) ,32,15-17 ,2452,76.6,2364,73.9,2.8
146,Duquesne (Atlantic 10) ,31,16-15 ,2249,72.5,2164,69.8,2.7
146,Alabama (SEC) ,31,17-14 ,2245,72.4,2160,69.7,2.7
148,Boston College (ACC) ,33,19-14 ,2529,76.6,2441,74,2.7
149,Bradley (MVC) ,33,20-13 ,2223,67.4,2136,64.7,2.6
150,Colgate (Patriot) ,32,19-13 ,2326,72.7,2243,70.1,2.6
151,Bethune-Cookman (MEAC) ,32,18-14 ,2622,81.9,2543,79.5,2.5
152,Northwestern (Big Ten) ,32,15-17 ,2203,68.8,2127,66.5,2.4
153,Ill.-Chicago (Horizon) ,32,17-15 ,2403,75.1,2328,72.8,2.3
154,La.-Monroe (Sun Belt) ,30,16-14 ,2114,70.5,2044,68.1,2.3
155,Navy (Patriot) ,32,20-12 ,2199,68.7,2125,66.4,2.3
156,Valparaiso (MVC) ,32,15-17 ,2252,70.4,2182,68.2,2.2
157,Hofstra (CAA) ,31,19-12 ,2464,79.5,2397,77.3,2.2
158,UNI (MVC) ,32,16-16 ,2056,64.3,1990,62.2,2.1
159,Illinois (Big Ten) ,32,14-18 ,2426,75.8,2362,73.8,2
160,Oakland (Horizon) ,33,19-14 ,2580,78.2,2516,76.2,1.9
161,UNC Asheville (Big South) ,33,21-12 ,2459,74.5,2396,72.6,1.9
162,Georgetown (Big East) ,30,15-15 ,2350,78.3,2294,76.5,1.9
163,Washington (Pac-12) ,31,20-11 ,2311,74.5,2254,72.7,1.8
164,Georgia (SEC) ,31,17-14 ,2136,68.9,2080,67.1,1.8
165,Coastal Caro. (Sun Belt) ,32,14-18 ,2298,71.8,2241,70,1.8
165,Miami (OH) (MAC) ,32,16-16 ,2293,71.7,2236,69.9,1.8
167,NJIT (ASUN) ,30,14-16 ,2248,74.9,2197,73.2,1.7
168,Austin Peay (OVC) ,32,18-14 ,2351,73.5,2297,71.8,1.7
169,Western Mich. (MAC) ,32,17-15 ,2402,75.1,2349,73.4,1.7
170,Ball St. (MAC) ,31,19-12 ,2337,75.4,2286,73.7,1.6
170,Indiana (Big Ten) ,31,16-15 ,2229,71.9,2178,70.3,1.6
172,Yale (Ivy League) ,30,16-14 ,2255,75.2,2208,73.6,1.6
173,UCF (AAC) ,30,18-12 ,1885,62.8,1839,61.3,1.5
174,Evansville (MVC) ,32,17-15 ,2094,65.4,2045,63.9,1.5
175,Harvard (Ivy League) ,29,17-12 ,1983,68.4,1939,66.9,1.5
176,Saint Joseph's (Atlantic 10) ,30,15-15 ,2216,73.9,2172,72.4,1.5
177,Wyoming (MWC) ,32,20-12 ,2558,79.9,2512,78.5,1.4
177,North Texas (C-USA) ,32,15-17 ,2333,72.9,2287,71.5,1.4
