Rank,Team,GM,W-L,TO,TOPG
1,Virginia (ACC) ,31,29-2 ,271,8.7
2,Michigan (Big Ten) ,35,28-7 ,320,9.1
3,Col. of Charleston (CAA) ,33,26-7 ,318,9.6
4,Saint Mary's (CA) (WCC) ,33,28-5 ,321,9.7
5,Davidson (Atlantic 10) ,29,18-11 ,284,9.8
6,Florida (SEC) ,31,20-11 ,305,9.8
7,Southern Miss. (C-USA) ,33,16-17 ,325,9.8
8,Notre Dame (ACC) ,34,20-14 ,336,9.9
9,Saint Joseph's (Atlantic 10) ,30,15-15 ,298,9.9
10,Nevada (MWC) ,33,27-6 ,328,9.9
11,South Dakota St. (Summit League) ,34,28-6 ,340,10
12,Villanova (Big East) ,32,28-4 ,331,10.3
13,Southern California (Pac-12) ,32,22-10 ,332,10.4
14,Old Dominion (C-USA) ,30,24-6 ,313,10.4
15,UC Santa Barbara (Big West) ,31,23-8 ,326,10.5
16,Purdue (Big Ten) ,34,28-6 ,363,10.7
17,Wisconsin (Big Ten) ,33,15-18 ,353,10.7
18,Arizona St. (Pac-12) ,31,20-11 ,332,10.7
19,Western Mich. (MAC) ,32,17-15 ,343,10.7
20,Delaware (CAA) ,33,14-19 ,354,10.7
21,Temple (AAC) ,31,17-14 ,334,10.8
22,Hofstra (CAA) ,31,19-12 ,335,10.8
23,Rhode Island (Atlantic 10) ,29,23-6 ,314,10.8
24,Stetson (ASUN) ,32,12-20 ,350,10.9
25,Mt. St. Mary's (NEC) ,32,18-14 ,351,11
26,Colgate (Patriot) ,32,19-13 ,352,11
27,Minnesota (Big Ten) ,32,15-17 ,353,11
28,Vermont (America East) ,33,27-6 ,365,11.1
29,FIU (C-USA) ,32,14-18 ,355,11.1
30,Arkansas (SEC) ,31,21-10 ,344,11.1
31,South Dakota (Summit League) ,34,26-8 ,378,11.1
32,Nebraska (Big Ten) ,32,22-10 ,357,11.2
32,Butler (Big East) ,32,20-12 ,357,11.2
34,Creighton (Big East) ,32,21-11 ,358,11.2
35,Niagara (MAAC) ,32,19-13 ,360,11.3
36,Georgia St. (Sun Belt) ,31,21-10 ,350,11.3
36,Santa Clara (WCC) ,31,11-20 ,350,11.3
36,Ga. Southern (Sun Belt) ,31,20-11 ,350,11.3
39,Gonzaga (WCC) ,34,30-4 ,384,11.3
40,Jackson St. (SWAC) ,31,12-20 ,352,11.4
41,UNI (MVC) ,32,16-16 ,364,11.4
42,Kansas St. (Big 12) ,32,22-10 ,365,11.4
42,Ole Miss (SEC) ,32,12-20 ,365,11.4
42,West Virginia (Big 12) ,32,23-9 ,365,11.4
45,Miami (FL) (ACC) ,30,22-8 ,343,11.4
46,Pacific (WCC) ,32,14-18 ,368,11.5
47,LSU (SEC) ,31,17-14 ,357,11.5
48,Princeton (Ivy League) ,29,13-16 ,334,11.5
49,Wichita St. (AAC) ,30,24-6 ,346,11.5
50,Richmond (Atlantic 10) ,31,12-19 ,358,11.5
51,BYU (WCC) ,34,24-10 ,393,11.6
52,Eastern Wash. (Big Sky) ,32,19-13 ,370,11.6
52,USC Upstate (ASUN) ,32,7-25 ,370,11.6
52,Toledo (MAC) ,32,22-10 ,370,11.6
55,Saint Francis (PA) (NEC) ,30,18-12 ,347,11.6
56,Furman (SoCon) ,33,23-10 ,382,11.6
56,Missouri St. (MVC) ,33,18-15 ,382,11.6
58,Albany (NY) (America East) ,32,22-10 ,371,11.6
58,SMU (AAC) ,32,17-15 ,371,11.6
60,La.-Monroe (Sun Belt) ,30,16-14 ,349,11.6
61,Rutgers (Big Ten) ,34,15-19 ,396,11.6
62,Elon (CAA) ,32,14-18 ,373,11.7
63,St. Bonaventure (Atlantic 10) ,30,24-6 ,350,11.7
63,Iona (MAAC) ,33,20-13 ,385,11.7
65,New Hampshire (America East) ,31,10-21 ,362,11.7
66,La Salle (Atlantic 10) ,32,13-19 ,374,11.7
66,Northwestern (Big Ten) ,32,15-17 ,374,11.7
66,Kansas (Big 12) ,32,25-7 ,374,11.7
69,Cincinnati (AAC) ,31,27-4 ,363,11.7
70,Central Mich. (MAC) ,33,19-14 ,387,11.7
71,Pepperdine (WCC) ,32,6-26 ,376,11.8
72,Cal Poly (Big West) ,31,9-22 ,366,11.8
73,Ohio St. (Big Ten) ,32,24-8 ,378,11.8
73,Northern Ill. (MAC) ,32,13-19 ,378,11.8
75,Oregon (Pac-12) ,33,22-11 ,390,11.8
76,Vanderbilt (SEC) ,32,12-20 ,379,11.8
77,Texas (Big 12) ,33,19-14 ,391,11.8
77,Louisville (ACC) ,33,20-13 ,391,11.8
79,Penn (Ivy League) ,30,22-8 ,356,11.9
79,San Diego St. (MWC) ,30,20-10 ,356,11.9
81,Weber St. (Big Sky) ,31,20-11 ,368,11.9
81,Murray St. (OVC) ,31,26-5 ,368,11.9
83,Western Ky. (C-USA) ,32,23-9 ,380,11.9
83,Presbyterian (Big South) ,32,11-21 ,380,11.9
85,Iowa St. (Big 12) ,31,13-18 ,369,11.9
86,St. John's (NY) (Big East) ,33,16-17 ,393,11.9
87,UCLA (Pac-12) ,31,21-10 ,370,11.9
88,Fort Wayne (Summit League) ,32,18-14 ,382,11.9
88,Virginia Tech (ACC) ,32,21-11 ,382,11.9
90,Portland (WCC) ,32,10-22 ,383,12
90,Duquesne (Atlantic 10) ,32,16-16 ,383,12
90,Drake (MVC) ,32,16-16 ,383,12
90,James Madison (CAA) ,32,10-22 ,383,12
94,Utah (Pac-12) ,30,19-11 ,360,12
94,Fresno St. (MWC) ,32,21-11 ,384,12
96,San Francisco (WCC) ,33,18-15 ,397,12
97,Sacramento St. (Big Sky) ,32,7-25 ,385,12
98,Liberty (Big South) ,34,20-14 ,410,12.1
99,Marquette (Big East) ,32,19-13 ,386,12.1
100,Clemson (ACC) ,31,23-8 ,374,12.1
101,Penn St. (Big Ten) ,34,21-13 ,411,12.1
102,Campbell (Big South) ,31,16-15 ,376,12.1
103,Radford (Big South) ,34,22-12 ,414,12.2
104,Hartford (America East) ,32,19-13 ,390,12.2
104,NC State (ACC) ,32,21-11 ,390,12.2
106,Tennessee (SEC) ,30,23-7 ,366,12.2
106,CSUN (Big West) ,30,6-24 ,366,12.2
108,North Carolina (ACC) ,32,23-9 ,391,12.2
109,Wofford (SoCon) ,33,21-12 ,404,12.2
109,Loyola Chicago (MVC) ,33,28-5 ,404,12.2
111,Northern Colo. (Big Sky) ,33,22-11 ,405,12.3
112,Troy (Sun Belt) ,32,16-16 ,393,12.3
113,Holy Cross (Patriot) ,31,12-19 ,381,12.3
113,Binghamton (America East) ,31,11-20 ,381,12.3
115,William & Mary (CAA) ,31,19-12 ,382,12.3
115,Auburn (SEC) ,31,25-6 ,382,12.3
117,UMBC (America East) ,33,23-10 ,407,12.3
118,UTEP (C-USA) ,31,11-20 ,383,12.4
119,Louisiana Tech (C-USA) ,32,17-15 ,396,12.4
120,Northern Ky. (Horizon) ,31,22-9 ,384,12.4
121,Drexel (CAA) ,33,13-20 ,409,12.4
122,Mercer (SoCon) ,32,18-14 ,397,12.4
122,New Mexico (MWC) ,32,18-14 ,397,12.4
124,Middle Tenn. (C-USA) ,31,24-7 ,385,12.4
125,Belmont (OVC) ,33,24-9 ,410,12.4
126,Duke (ACC) ,32,26-6 ,398,12.4
126,Arizona (Pac-12) ,32,25-7 ,398,12.4
128,Indiana (Big Ten) ,31,16-15 ,386,12.5
128,Fordham (Atlantic 10) ,31,9-22 ,386,12.5
130,Houston (AAC) ,30,24-6 ,374,12.5
131,Milwaukee (Horizon) ,33,16-17 ,412,12.5
132,Western Ill. (Summit League) ,28,12-16 ,350,12.5
132,High Point (Big South) ,30,14-16 ,375,12.5
132,Montana St. (Big Sky) ,32,13-19 ,400,12.5
132,Xavier (Big East) ,32,28-4 ,400,12.5
136,Southeast Mo. St. (OVC) ,31,14-17 ,388,12.5
137,Columbia (Ivy League) ,27,8-19 ,338,12.5
138,North Dakota St. (Summit League) ,32,15-17 ,402,12.6
139,Syracuse (ACC) ,33,20-13 ,415,12.6
140,St. Francis Brooklyn (NEC) ,31,13-18 ,390,12.6
141,Texas Southern (SWAC) ,32,13-19 ,403,12.6
141,UConn (AAC) ,32,14-18 ,403,12.6
143,Air Force (MWC) ,31,12-19 ,391,12.6
144,Bucknell (Patriot) ,34,25-9 ,429,12.6
145,Texas Tech (Big 12) ,32,24-8 ,404,12.6
146,UTSA (C-USA) ,33,19-14 ,417,12.6
147,Southern Utah (Big Sky) ,31,13-18 ,392,12.6
148,Towson (CAA) ,32,18-14 ,405,12.7
149,Lehigh (Patriot) ,30,16-14 ,380,12.7
149,Portland St. (Big Sky) ,33,20-13 ,418,12.7
151,TCU (Big 12) ,32,21-11 ,406,12.7
151,Providence (Big East) ,32,20-12 ,406,12.7
153,Boston College (ACC) ,34,19-15 ,432,12.7
154,Fla. Atlantic (C-USA) ,31,12-19 ,394,12.7
155,Southern Ill. (MVC) ,33,20-13 ,420,12.7
156,Montana (Big Sky) ,31,24-7 ,395,12.7
157,Bowling Green (MAC) ,32,16-16 ,408,12.8
157,Buffalo (MAC) ,32,24-8 ,408,12.8
159,George Washington (Atlantic 10) ,33,15-18 ,421,12.8
159,Fairfield (MAAC) ,33,17-16 ,421,12.8
161,San Diego (WCC) ,31,18-13 ,396,12.8
162,Hampton (MEAC) ,32,18-14 ,409,12.8
162,Georgia (SEC) ,32,18-14 ,409,12.8
162,Saint Louis (Atlantic 10) ,32,17-15 ,409,12.8
165,Seton Hall (Big East) ,32,21-11 ,410,12.8
166,Massachusetts (Atlantic 10) ,33,13-20 ,423,12.8
167,UMKC (WAC) ,31,10-21 ,398,12.8
168,Georgia Tech (ACC) ,32,13-19 ,411,12.8
168,Oral Roberts (Summit League) ,32,11-21 ,411,12.8
170,Jacksonville St. (OVC) ,33,21-12 ,424,12.8
171,Eastern Ky. (OVC) ,31,11-20 ,401,12.9
171,Bryant (NEC) ,31,3-28 ,401,12.9
171,New Mexico St. (WAC) ,31,26-5 ,401,12.9
174,UNCW (CAA) ,32,11-21 ,414,12.9
174,Eastern Mich. (MAC) ,32,21-11 ,414,12.9
176,Utah St. (MWC) ,33,17-16 ,427,12.9
177,Tulsa (AAC) ,30,19-11 ,389,13
178,Kent St. (MAC) ,33,17-16 ,428,13
179,Florida St. (ACC) ,31,20-11 ,403,13
180,George Mason (Atlantic 10) ,32,16-16 ,417,13
180,UMES (MEAC) ,32,7-25 ,417,13
182,Loyola Marymount (WCC) ,31,11-20 ,404,13
183,Saint Peter's (MAAC) ,32,14-18 ,418,13.1
183,North Dakota (Big Sky) ,32,12-20 ,418,13.1
185,Arkansas St. (Sun Belt) ,32,11-21 ,419,13.1
186,Cleveland St. (Horizon) ,35,12-23 ,459,13.1
187,Wright St. (Horizon) ,34,25-9 ,446,13.1
188,Mississippi St. (SEC) ,32,22-10 ,420,13.1
188,Lamar University (Southland) ,32,19-13 ,420,13.1
190,UC Davis (Big West) ,31,22-9 ,407,13.1
190,Wake Forest (ACC) ,31,11-20 ,407,13.1
192,Charleston So. (Big South) ,31,15-16 ,408,13.2
193,Michigan St. (Big Ten) ,33,29-4 ,435,13.2
193,Oakland (Horizon) ,33,19-14 ,435,13.2
195,Canisius (MAAC) ,32,21-11 ,422,13.2
195,Mississippi Val. (SWAC) ,32,4-28 ,422,13.2
197,Tulane (AAC) ,31,14-17 ,409,13.2
197,Omaha (Summit League) ,31,9-22 ,409,13.2
199,Ball St. (MAC) ,32,19-13 ,423,13.2
200,UAB (C-USA) ,33,20-13 ,437,13.2
201,Lafayette (Patriot) ,31,10-21 ,411,13.3
201,Idaho (Big Sky) ,31,22-9 ,411,13.3
203,Yale (Ivy League) ,30,16-14 ,398,13.3
204,Illinois St. (MVC) ,33,18-15 ,438,13.3
205,Southern U. (SWAC) ,32,15-17 ,425,13.3
206,Rider (MAAC) ,31,22-9 ,412,13.3
206,Ohio (MAC) ,31,14-17 ,412,13.3
208,NJIT (ASUN) ,30,14-16 ,399,13.3
209,Colorado St. (MWC) ,32,11-21 ,426,13.3
209,Sam Houston St. (Southland) ,32,19-13 ,426,13.3
211,Oklahoma St. (Big 12) ,33,19-14 ,440,13.3
212,Illinois (Big Ten) ,32,14-18 ,427,13.3
213,ETSU (SoCon) ,34,25-9 ,454,13.4
214,Loyola Maryland (Patriot) ,31,9-22 ,414,13.4
214,Oregon St. (Pac-12) ,31,15-16 ,414,13.4
216,Iowa (Big Ten) ,33,14-19 ,441,13.4
216,Bradley (MVC) ,33,20-13 ,441,13.4
218,Texas St. (Sun Belt) ,32,15-17 ,428,13.4
219,Boise St. (MWC) ,31,23-8 ,415,13.4
219,Oklahoma (Big 12) ,31,18-13 ,415,13.4
221,Howard (MEAC) ,33,10-23 ,442,13.4
221,Miami (OH) (MAC) ,33,16-17 ,442,13.4
223,Hawaii (Big West) ,30,17-13 ,402,13.4
224,Marshall (C-USA) ,32,22-10 ,429,13.4
225,Grand Canyon (WAC) ,30,20-10 ,403,13.4
225,Army West Point (Patriot) ,30,13-17 ,403,13.4
227,Washington (Pac-12) ,31,20-11 ,417,13.5
227,Eastern Ill. (OVC) ,31,12-19 ,417,13.5
229,Evansville (MVC) ,32,17-15 ,431,13.5
229,UTRGV (WAC) ,32,15-17 ,431,13.5
231,Brown (Ivy League) ,27,11-16 ,364,13.5
231,Cornell (Ivy League) ,27,12-15 ,364,13.5
233,Kentucky (SEC) ,31,21-10 ,418,13.5
234,Prairie View (SWAC) ,33,16-17 ,445,13.5
235,UMass Lowell (America East) ,30,12-18 ,405,13.5
235,VCU (Atlantic 10) ,32,18-14 ,432,13.5
235,North Texas (C-USA) ,32,15-17 ,432,13.5
235,Baylor (Big 12) ,32,18-14 ,432,13.5
239,Quinnipiac (MAAC) ,33,12-21 ,446,13.5
240,Louisiana (Sun Belt) ,31,26-5 ,419,13.5
241,Dartmouth (Ivy League) ,27,7-20 ,365,13.5
242,UCF (AAC) ,31,19-12 ,420,13.5
243,Texas A&M (SEC) ,32,20-12 ,434,13.6
244,Washington St. (Pac-12) ,31,12-19 ,421,13.6
244,Morgan St. (MEAC) ,31,13-18 ,421,13.6
246,Samford (SoCon) ,32,10-22 ,435,13.6
246,Detroit Mercy (Horizon) ,32,8-24 ,435,13.6
246,South Carolina (SEC) ,32,17-15 ,435,13.6
249,Idaho St. (Big Sky) ,30,14-16 ,408,13.6
250,Wyoming (MWC) ,33,20-13 ,449,13.6
251,SIUE (OVC) ,30,9-21 ,409,13.6
251,Kennesaw St. (ASUN) ,30,10-20 ,409,13.6
253,Northeastern (CAA) ,33,23-10 ,450,13.6
254,Gardner-Webb (Big South) ,32,14-18 ,437,13.7
255,Maryland (Big Ten) ,32,19-13 ,438,13.7
255,Wagner (NEC) ,32,23-9 ,438,13.7
257,UNC Asheville (Big South) ,33,21-12 ,452,13.7
258,Green Bay (Horizon) ,33,13-20 ,453,13.7
258,N.C. A&T (MEAC) ,33,20-13 ,453,13.7
260,Dayton (Atlantic 10) ,31,14-17 ,426,13.7
260,Fairleigh Dickinson (NEC) ,31,13-18 ,426,13.7
262,Akron (MAC) ,32,14-18 ,440,13.8
262,Memphis (AAC) ,32,20-12 ,440,13.8
264,Central Ark. (Southland) ,33,17-16 ,454,13.8
265,UNCG (SoCon) ,34,27-7 ,468,13.8
266,American (Patriot) ,30,6-24 ,413,13.8
267,Boston U. (Patriot) ,31,15-16 ,427,13.8
268,Winthrop (Big South) ,31,19-12 ,429,13.8
268,UC Riverside (Big West) ,31,9-22 ,429,13.8
270,Pittsburgh (ACC) ,32,8-24 ,443,13.8
271,Florida A&M (MEAC) ,34,9-25 ,471,13.9
272,DePaul (Big East) ,31,11-20 ,430,13.9
273,Appalachian St. (Sun Belt) ,32,15-17 ,444,13.9
274,CSU Bakersfield (WAC) ,30,12-18 ,417,13.9
275,South Carolina St. (MEAC) ,32,10-22 ,445,13.9
276,Southeastern La. (Southland) ,31,21-10 ,432,13.9
277,Chattanooga (SoCon) ,33,10-23 ,460,13.9
278,McNeese (Southland) ,28,11-17 ,391,14
279,Utah Valley (WAC) ,31,22-9 ,434,14
279,Stony Brook (America East) ,32,13-19 ,448,14
279,Savannah St. (MEAC) ,32,15-17 ,448,14
279,FGCU (ASUN) ,34,23-11 ,476,14
283,South Fla. (AAC) ,32,10-22 ,449,14
284,Harvard (Ivy League) ,29,17-12 ,407,14
285,UC Irvine (Big West) ,33,17-16 ,464,14.1
286,Colorado (Pac-12) ,32,17-15 ,451,14.1
287,Alabama St. (SWAC) ,31,8-23 ,437,14.1
288,Missouri (SEC) ,32,20-12 ,452,14.1
288,N.C. Central (MEAC) ,32,17-15 ,452,14.1
288,Navy (Patriot) ,32,20-12 ,452,14.1
291,Houston Baptist (Southland) ,31,6-25 ,438,14.1
292,LIU Brooklyn (NEC) ,34,18-16 ,481,14.1
293,Alabama (SEC) ,32,18-14 ,455,14.2
294,IUPUI (Horizon) ,30,11-19 ,427,14.2
295,Tennessee Tech (OVC) ,33,19-14 ,471,14.3
296,Austin Peay (OVC) ,32,18-14 ,457,14.3
297,Jacksonville (ASUN) ,33,15-18 ,472,14.3
298,UNLV (MWC) ,33,20-13 ,473,14.3
299,Little Rock (Sun Belt) ,32,7-25 ,459,14.3
300,Abilene Christian (Southland) ,31,16-15 ,445,14.4
301,East Carolina (AAC) ,30,10-20 ,431,14.4
302,Youngstown St. (Horizon) ,32,8-24 ,460,14.4
302,Alcorn (SWAC) ,32,11-21 ,460,14.4
304,Seattle U (WAC) ,32,20-12 ,461,14.4
305,Cal St. Fullerton (Big West) ,29,18-11 ,418,14.4
306,Indiana St. (MVC) ,31,13-18 ,447,14.4
307,Coppin St. (MEAC) ,32,5-27 ,462,14.4
308,UT Martin (OVC) ,31,10-21 ,449,14.5
309,North Florida (ASUN) ,33,14-19 ,478,14.5
310,Ark.-Pine Bluff (SWAC) ,32,13-20 ,468,14.6
311,Valparaiso (MVC) ,32,15-17 ,469,14.7
312,California (Pac-12) ,32,8-24 ,470,14.7
313,VMI (SoCon) ,30,9-21 ,442,14.7
313,Tennessee St. (OVC) ,30,15-15 ,442,14.7
315,Charlotte (C-USA) ,29,6-23 ,428,14.8
316,Central Conn. St. (NEC) ,32,14-18 ,473,14.8
317,Rice (C-USA) ,31,7-24 ,460,14.8
318,Robert Morris (NEC) ,33,16-17 ,490,14.8
318,Stanford (Pac-12) ,33,18-15 ,490,14.8
320,Western Caro. (SoCon) ,32,13-19 ,476,14.9
321,Sacred Heart (NEC) ,31,10-21 ,462,14.9
322,The Citadel (SoCon) ,32,11-21 ,477,14.9
323,Coastal Caro. (Sun Belt) ,32,14-18 ,479,15
323,South Ala. (Sun Belt) ,32,14-18 ,479,15
325,Lipscomb (ASUN) ,32,23-9 ,480,15
326,Denver (Summit League) ,30,15-15 ,451,15
327,Chicago St. (WAC) ,32,3-29 ,483,15.1
327,Siena (MAAC) ,32,8-24 ,483,15.1
329,Ill.-Chicago (Horizon) ,32,17-15 ,484,15.1
330,UT Arlington (Sun Belt) ,31,19-12 ,470,15.2
331,Long Beach St. (Big West) ,33,15-18 ,501,15.2
332,Georgetown (Big East) ,30,15-15 ,458,15.3
333,Monmouth (MAAC) ,31,11-20 ,474,15.3
333,Nicholls St. (Southland) ,31,21-10 ,474,15.3
335,Delaware St. (MEAC) ,32,4-28 ,491,15.3
336,Norfolk St. (MEAC) ,33,14-19 ,507,15.4
337,Grambling (SWAC) ,31,17-14 ,477,15.4
337,New Orleans (Southland) ,31,15-16 ,477,15.4
339,Maine (America East) ,32,6-26 ,497,15.5
339,Northern Ariz. (Big Sky) ,32,5-27 ,497,15.5
341,Manhattan (MAAC) ,31,14-17 ,482,15.5
342,Longwood (Big South) ,33,7-26 ,516,15.6
343,SFA (Southland) ,32,26-6 ,502,15.7
344,Morehead St. (OVC) ,29,8-21 ,456,15.7
345,Marist (MAAC) ,31,6-25 ,488,15.7
346,Bethune-Cookman (MEAC) ,32,18-14 ,507,15.8
347,Incarnate Word (Southland) ,28,7-21 ,444,15.9
348,A&M-Corpus Christi (Southland) ,29,11-18 ,462,15.9
349,San Jose St. (MWC) ,30,4-26 ,490,16.3
350,Alabama A&M (SWAC) ,31,3-28 ,514,16.6
351,Northwestern St. (Southland) ,29,4-25 ,496,17.1
